EnteredBy,HoldingInstitution,InstitutionCode,bnhm_id,Date verified,Verification remarks,Corrected longitude,Corrected latitude,Corrected uncertainty radius,Corrected uncertainty radius circular polygon_WKT,Corrected uncertainty polygon_WKT,CollectionCode,ScientificName,Genus,SpecificEpithet,Kingdom,Phylum,Class,Ordr,Family,ContinentOcean,Country,StateProvince,County,Locality,MinElevationMeters,MaxElevationMeters,YearCollected,MonthCollected,DayCollected,TimeofDay,CollectorNumber,Collector,ScientificNameAuthor,IdentifiedBy,YearIdentified,MonthIdentified,DayIdentified,IndividualCount,RelatedCatalogItem,TypeStatus,PreparationType,Notes,BasisOfRecord,DateLastModified,Associated_Taxon
Adam Zeilinger,Essig Museum of Entomology,,1218,3/13/2015 0:29,,-119.608608,38.381897,558,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,California,Mono County,"White Mtn. Sta., Mono Co., Calif. (10,200')",,,1953,4,25,,,J.W. MacSwain,"(Šulc, 1909)",,,,,,,,,,,,Pinus and Artemesia tridentata
Adam Zeilinger,Essig Museum of Entomology,,1229,3/12/2015 16:41,,-118.871764,35.347459,2202,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,California,Kern County,"Edison, Calif., Kern Co.",,,1953,3,9,,,V. Burton,"(Šulc, 1909)",,,,,,,,,,,,potatoe
Adam Zeilinger,Essig Museum of Entomology,,1240,3/13/2015 0:38,,-118.118676,37.497815,588,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,California,Mono County,"Crooked Cr., White Mts., Mono Co., Calif. (9,000)",,,1953,6,20,,,J.W. MacSwain,"(Šulc, 1909)",,,,,,,,,,,,Salix
Adam Zeilinger,Essig Museum of Entomology,,1242,3/13/2015 0:29,,-119.608608,38.381897,558,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,California,Mono County,"White Mtn. Cmp., Calif., Mono Co.",,,1953,6,23,,,J.W. MacSwain,"(Šulc, 1909)",,,,,,,,,,,,Pinus aristata
Adam Zeilinger,Essig Museum of Entomology,,1243,3/13/2015 0:29,,-119.608608,38.381897,558,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,California,Mono County,"White Mtn. Cmp., Calif., Mono Co.",,,1953,6,23,,,J.W. MacSwain,"(Šulc, 1909)",,,,,,,,,,,,P. flexulis
Adam Zeilinger,Essig Museum of Entomology,,1244,3/13/2015 0:55,,-118.280935,37.299729,10481,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,California,Inyo County,"7 mi. W. of Westgard Pass, Inyo Co., Calif.",,,1953,6,23,,,J.W. MacSwain,"(Šulc, 1909)",,,,,,,,,,,,Chrycothamnus
Adam Zeilinger,Essig Museum of Entomology,,1281,3/13/2015 0:41,,-115.639166,32.678394,6698,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,California,Imperial County,"Mt. Signal, Imperial Co., Calif.",,,1955,4,21,,,R.A. Flock,"(Šulc, 1909)",,,,,,,,,,,,Lycium fremontii
Adam Zeilinger,Essig Museum of Entomology,,1349,3/13/2015 0:47,,-122.298249,37.886497,263,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,California,,"Gill Tract, Albany, Calif.",,,1958,11,5,,,D.D. Jensen,"(Šulc, 1909)",,,,,,,,,,,,tobacco
Adam Zeilinger,Essig Museum of Entomology,,1361,3/11/2015 16:50,,-122.272747,37.871593,4592,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,California,Alameda County,"Berkeley, Calif., Alameda Co.",,,1959,5,17,,,D.D. Jensen,"(Šulc, 1909)",,,,,,,,,,,,tomato
Adam Zeilinger,Essig Museum of Entomology,,1397,3/13/2015 0:32,,-118.217605,37.527151,1807,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,California,Mono County,"Sheep Mtn., Mono Co., Calif.",,,1961,7,12,,,H.V. Daly,"(Šulc, 1909)",,,,,,,,,,,,bristle cone pine
Adam Zeilinger,Essig Museum of Entomology,,43B,3/10/2015 0:28,,-106.800838,32.270094,3014,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,New Mexico,Dona Ano County,"Mesilla, Dona Ano Co., N. Mex",,,1939,12,4,,,D.D. Jensen,"(Šulc, 1909)",,,,,,,,,,,,Medicago
Adam Zeilinger,Essig Museum of Entomology,,J1210,3/13/2015 0:18,,-115.670604,36.262723,3747,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,Nevada,Clark County,"Charleston Mts., hwy. 39, Clark Co., Nev. (5,000')",,,1953,4,1,,,J.W. MacSwain,"(Šulc, 1909)",,,,,,,,,,,,Pinus Monophylla
Adam Zeilinger,Essig Museum of Entomology,,J21,3/10/2015 0:26,,-116.947804,34.049457,1068,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,California,San Bernardino County,"Oak Glen, S. Berdo. Co., Calif",,,1939,8,23,,,D.D. Jensen,"(Šulc, 1909)",,,,,,,,,,,,cover
