STATE,COUNTY,MUNICIPALITY,LATITUDE,LONGITUDE,COLLECTOR,DATE COLLECTED,TRAP TYPE,DATE TRAP LAST SERVICED,HOST PLANT,FAMILY,GENUS,SPECIES,DETERMINER,DETERMINED DATE
California,Imperial,Calexico,32.67,-115.49,Marcos Camargo,2005-08-10,Yellow GWSS trap,2005-07-29,Bauhinia sp.,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-08-12
California,San Diego,National City,32.68,-117.08,Maranda Shelton,2004-12-30,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-10
California,Imperial,CALEXICO,32.68,-115.48,HERNANDEZ,2001-06-26,,,Hibiscus sp.,Cicadellidae,Homalodisca,lacerta,"Gill, Raymond",2001-07-18
California,Imperial,CALEXICO,32.68,-115.48,HERNANDEZ,2001-06-26,,,Hibiscus sp.,Eriococcidae,Acanthococcus,dubius,"Gill, Raymond",2001-07-18
California,Imperial,CALEXICO,32.68,-115.49,MURRAY,1999-09-09,,,Mimosa sp.,Pseudococcidae,Ferrisia,virgata,"Gill, Raymond",2000-03-06
California,Imperial,Calexico,32.68,-115.5,Marcos Camargo,2005-11-09,,,Gossypium hirsutum,Pseudococcidae,Phenacoccus,madeirensis,"Watson, Gillian",2005-11-10
California,Imperial,CALEXICO,32.68,-115.49,TRIVISO,1997-09-15,,,Morus sp.,Pseudococcidae,Spilococcus,eriogoni,"Gill, Raymond",1997-11-13
California,San Diego,National City,32.69,-117.07,Maranda Shelton,2004-12-30,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-11
California,San Diego,Coronado,32.69,-117.19,Gabriel Chavez,2005-01-06,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-19
California,San Diego,Coronado,32.69,-117.17,Gabriel Chavez,2005-01-06,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-19
California,San Diego,San Diego,32.69,-117.07,Maranda Shelton,2004-12-30,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-10
California,San Diego,South Bay Terrace,32.69,-117.04,"Williams,Jimenez,Reinhardt",2009-06-15,,,Citrus sinensis,Aphididae,Aphis,spiraecola,"Sorensen, John",2009-06-18
California,San Diego,Coronado,32.69,-117.17,B. Taylor,2005-01-21,,,Persea americana,Coccidae,Protopulvinaria,pyriformis,"Watson, Gillian",2005-01-26
California,San Diego,Coronado,32.69,-117.17,B. Taylor,2005-01-21,,,Persea americana,Coccidae,Protopulvinaria,pyriformis,"Watson, Gillian",2005-01-26
California,San Diego,Coronado,32.69,-117.19,Gabriel Chavez,2005-01-06,,,Persea americana,Coccidae,Protopulvinaria,pyriformis,"Watson, Gillian",2005-01-19
California,Imperial,Calexico,32.69,-115.5,L Arellano,2010-11-30,,,,Diaspididae,Situlaspis,yuccae,"von Ellenrieder, Natalia",2010-12-02
California,San Diego,Coronado,32.7,-117.18,Gabriel Chavez,2005-01-06,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-19
California,San Diego,San Diego,32.7,-117.1,Juan Romero,2005-01-10,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-19
California,San Diego,Coronado,32.7,-117.17,B. Taylor,2005-01-21,,,,Coccidae,Coccus,hesperidum,"Watson, Gillian",2005-01-26
California,San Diego,South Bay Terrace,32.7,-117.03,Tony Gonzalez/ Dianne Henderson,2010-02-22,Yellow panel trap,2010-02-22,Citrus limon,Psyllidae,Trioza,eugeniae,"Rung, Alessandra",2010-02-24
California,San Diego,San Diego,32.71,-117.06,Juan Romero,2005-01-10,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-19
California,San Diego,JAMUL,32.71,-116.86,KENYON/MOSSE,1988-08-28,,,Macadamia sp.,Diaspididae,Aspidiotus,nerii,"Gill, Raymond",1988-09-02
California,San Diego,San Diego,32.71,-117.16,T. Ellis/D. Kellum/P. Nolan,2012-02-01,,,Agave attenuata,Diaspididae,Selenaspidus,albus,"Watson, Gillian",2012-02-03
California,San Diego,Spring Valley,32.72,-117,Toni Tromblee,2004-12-30,,,Persea americana,Aleyrodidae,Aleurodicus,dugesii,"Watson, Gillian",2005-01-11
California,San Diego,San Diego,32.72,-117.06,Dan Arena,2004-12-30,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-06
California,San Diego,Spring Valley,32.72,-117,Toni Tromblee,2004-12-30,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-11
California,San Diego,SAN DIEGO,32.72,-117.05,O'SULLIVAN,1998-06-01,,,Citrus sinensis,Aphididae,Aphis,gossypii,"Sorensen, John",1998-07-31
California,San Diego,SAN DIEGO,32.72,-117.16,KENYON,1991-07-19,,,Erythrina sp.,Pseudococcidae,Planococcus,citri,"Gill, Raymond",1991-08-05
California,San Diego,SAN DIEGO,32.72,-117.16,KENYON,1991-07-19,,,Erythrina sp.,Pseudococcidae,Pseudococcus,longispinus,"Gill, Raymond",1991-08-05
California,San Diego,SAN DIEGO,32.73,-117.15,KELLUM,1992-12-03,,,Hibiscus sp.,Aleyrodidae,Bemisia,tabaci,"Gill, Raymond",1992-12-08
California,San Diego,LEMON GROVE,32.73,-117.02,KENYON,1987-09-20,,,Citrus reticulata,Aleyrodidae,Dialeurodes,citri,"Gill, Raymond",1987-10-02
California,San Diego,SAn Deigo,32.73,-117.12,"R. Thacker, D. Kellum",2011-11-30,,,Ficus sp.,Aleyrodidae,Dialeurodes,citri,"von Ellenrieder, Natalia",2011-12-02
California,San Diego,LEMON GROVE,32.73,-117.02,KENYON,1987-09-20,,,Citrus reticulata,Aleyrodidae,Tetraleurodes,mori,"Gill, Raymond",1987-10-02
California,San Diego,Lemon Grove,32.73,-117.04,Toni Tromblee,2004-12-30,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-11
California,San Diego,Spring Valley,32.73,-117.01,Toni Tromblee,2004-12-30,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-06
California,San Diego,Spring Valley,32.73,-116.96,Mary Lynn Sandoval,2005-01-25,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-28
California,San Diego,SAN DIEGO,32.73,-117.15,KELLUM,1994-03-11,,,Quercus engelmannii,Phylloxeridae,Phylloxera,stellata,"Sorensen, John",1994-04-11
California,San Diego,JAMUL,32.73,-116.78,SUDDUTH,1991-06-02,,,Ceanothus sp.,Psyllidae,Euphalerus,vermiculosus,"Gill, Raymond",1991-06-10
California,San Diego,San Diego,32.74,-117.07,Aaron Neville,2005-01-05,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-11
California,San Diego,Lemon Grove,32.74,-117.04,Toni Tromblee,2004-12-30,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-06
California,San Diego,Spring Valley,32.74,-116.99,Rik Henneberg,2004-12-22,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-10
California,Imperial,WINTERHAVEN,32.74,-114.63,CAMARGO,2002-05-08,,,Citrus sp.,Cicadellidae,Homalodisca,lacerta,"Gill, Raymond",2002-06-27
California,Imperial,WINTERHAVEN,32.74,-114.63,CARMARGO,2002-03-13,,,Citrus sp.,Cicadellidae,Homalodisca,lacerta,"Gill, Raymond",2002-03-26
California,San Diego,LEMON GROVE,32.74,-117.02,OPGNORTH,1989-06-04,,,Citrus sp.,Coccidae,Coccus,hesperidum,"Gill, Raymond",1989-06-13
California,San Diego,San Diego,32.74,-117.15,T. Ellis,2013-06-21,,,Ficus sp.,Coccidae,Pulvinaria,psidii,"von Ellenrieder, Natalia",2013-06-28
California,San Diego,SAN DIEGO,32.74,-117.15,KENYON,1988-11-06,,,Cordyline terminalis,Diaspididae,Pinnaspis,aspidistrae,"Gill, Raymond",1988-11-10
California,Imperial,Winterhaven,32.74,-114.63,Baldev Singh,2009-10-22,,,Citrus sp.,Psyllidae,Bactericera,cockerelli,"Rung, Alessandra",2009-10-26
California,San Diego,SAN DIEGO,32.75,-117.15,RYS,1987-08-26,,,Malva sylvestris,Aleyrodidae,Aleyrodes,spiraeoides,"Gill, Raymond",1987-09-02
California,Imperial,Winterhaven,32.75,-114.75,Jolene Dessert,2005-12-13,,,Brassica oleracea,Aleyrodidae,Bemisia,tabaci,"Kerr, Peter",2005-12-30
California,San Diego,SAN DIEGO,32.75,-117.15,RYS,1987-08-26,,,Malva sylvestris,Aleyrodidae,Dialeurodes,citri,"Gill, Raymond",1987-09-02
California,San Diego,SAN DIEGO,32.75,-117.13,KENYON,1988-08-22,,,Citrus sp.,Aleyrodidae,Dialeurodes,citri,"Gill, Raymond",1988-08-26
California,San Diego,SAN DIEGO,32.75,-117.13,KENYON,1988-08-22,,,Citrus sp.,Aleyrodidae,Tetraleurodes,mori,"Gill, Raymond",1988-08-26
California,San Diego,SAN DIEGO,32.75,-117.15,RYS,1987-08-26,,,Malva sylvestris,Aleyrodidae,Trialeurodes,vaporariorum,"Gill, Raymond",1987-09-02
California,Imperial,Ocotillo,32.75,-116,Rachel Nilson/ Paul Deol,2005-08-17,,,Citrus sp.,Cicadellidae,Homalodisca,liturata,"Garrison, Rosser",2005-08-18
California,Imperial,Ocotillo,32.75,-116,Wilmer Barrios,2005-08-01,,,,Cicadellidae,Homalodisca,vitripennis,"Winterton, Shaun",2005-08-03
California,San Diego,LA MESA,32.75,-117.04,BREUNINGER,1987-08-23,,,,Coccidae,Coccus,hesperidum,"Gill, Raymond",1987-09-01
California,San Diego,LA MESA,32.75,-117.04,BREUNINGER,1987-08-23,,,,Coccidae,Saissetia,oleae,"Gill, Raymond",1987-09-01
California,San Diego,LA MESA,32.75,-117.04,BREUNINGER,1987-08-23,,,,Diaspididae,Aspidiotus,nerii,"Gill, Raymond",1987-09-01
California,San Diego,SAN DIEGO,32.75,-117.16,SHIPLEY,1999-10-19,,,Mangifera indica,Pseudococcidae,Planococcus,citri,"Gill, Raymond",2000-05-11
California,San Diego,SAN DIEGO,32.75,-117.16,SHIPLEY,1999-10-19,,,Mangifera indica,Pseudococcidae,Pseudococcus,calceolariae,"Gill, Raymond",2000-05-11
California,San Diego,LA MESA,32.76,-117.01,KELLUM,1996-10-10,,,Myoporum sp.,Aleyrodidae,Aleyrodes,spiraeoides,"Gill, Raymond",1996-10-23
California,San Diego,LA MESA,32.76,-117.01,SIXTUS/KENYON,1987-07-06,,,Citrus sp.,Aleyrodidae,Dialeurodes,citri,"Gill, Raymond",1987-07-10
California,San Diego,LA MESA,32.76,-117.01,SIXTUS/KENYON,1987-07-06,,,Citrus sp.,Aleyrodidae,Tetraleurodes,mori,"Gill, Raymond",1987-07-10
California,Imperial,HOLTVILLE,32.76,-115.4,CAMARGE,2000-11-07,,,Citrus sinensis,Aphididae,Aphis,craccivora,"Sorensen, John",2001-03-22
California,San Diego,SAN DIEGO,32.76,-117.17,PENROSE,1997-05-01,,,Eugenia sp.,Coccidae,Protopulvinaria,pyriformis,"Gill, Raymond",1997-05-13
California,San Diego,LA MESA,32.76,-117.03,KENYON,1987-11-13,,,Gardenia sp.,Coccidae,Protopulvinaria,pyriformis,"Gill, Raymond",1987-11-20
California,San Diego,San Diego,32.76,-117.09,McNair/Garza/Sapp/Taylor/Ellis/Wheeler,2012-12-31,,,Ficus benjamina,Coccidae,Pulvinaria,psidii,"von Ellenrieder, Natalia",2013-01-03
California,San Diego,LA MESA,32.76,-117.01,KELLUM,1996-10-10,,,Myoporum sp.,Diaspididae,Aspidiotus,nerii,"Gill, Raymond",1996-10-23
California,San Diego,LA MESA,32.76,-117.01,KELLUM,1996-10-10,,,Myoporum sp.,Ortheziidae,Orthezia,insignis,"Gill, Raymond",1996-10-23
California,San Diego,SAN DIEGO,32.76,-117.17,PENROSE,1997-05-01,,,Eugenia sp.,Psyllidae,Trioza,eugeniae,"Gill, Raymond",1997-05-13
California,Imperial,El Centro,32.77,-115.47,Victor Huezo,2005-04-18,,,Citrullus lanatus lanatus,Aleyrodidae,Bemisia,tabaci,"Kerr, Peter",2005-05-16
California,San Diego,EL CAJON,32.77,-116.92,GINSKY,1987-08-05,,,Asparagus sp,Aphididae,Brachycorynella,asparagi,"Sorenson, John",1987-08-14
California,Imperial,El Centro,32.77,-115.58,Carol Hernandez,2003-11-08,,,Callistemon sp,Cicadellidae,Homalodisca,vitripennis,"Gill, Raymond",2003-11-19
California,Imperial,El Centro,32.77,-115.58,Carol Hernandez,2003-11-10,,,Callistemon sp,Cicadellidae,Homalodisca,vitripennis,"Gill, Raymond",2003-11-19
California,San Diego,EL CAJON,32.77,-116.93,CHAVEZ,1997-02-20,Mcphail trap,,Citrus sinensis,Cicadellidae,Homalodisca,vitripennis,"Sorensen, John",1997-11-24
California,San Diego,SAN DIEGO,32.77,-117.23,KENYON,1989-07-20,,,Pinus sp.,Diaspididae,Chionaspis,pinifoliae,"Gill, Raymond",1989-07-25
California,San Diego,SAN DIEGO,32.77,-117.12,MOSS,1988-02-20,,,Eugenia myrtifolia,Diaspididae,Chrysomphalus,dictyospermi,"Gill, Raymond",1988-02-25
California,Imperial,Winterhaven,32.77,-114.6,JL Encalada,2011-04-14,Yellow panel trap,2011-03-31,Citrus limon,Psyllidae,Heteropsylla,texana,"Rung, Alessandra",2011-04-19
California,Imperial,EL CENTRO,32.78,-115.56,FLOCK/WEDDLE,1991-01-18,,,Rosa sp.,Aleyrodidae,Bemisia,tabaci,"Gill, Raymond",1991-01-23
California,Imperial,EL CENTRO,32.78,-115.56,FLOCK/WEDDLE,1991-01-14,,,Citrus sp.,Aleyrodidae,Siphoninus,phillyreae,"Gill, Raymond",1991-01-18
California,Imperial,EL CENTRO,32.78,-115.57,,2000-06-12,,,Morus alba,Cicadellidae,Homalodisca,lacerta,"Gill, Raymond",2001-02-06
California,Imperial,EL CENTRO,32.78,-115.57,,2000-06-12,,,Morus sp.,Cicadellidae,Homalodisca,lacerta,"Gill, Raymond",2001-02-06
California,Imperial,EL CENTRO,32.78,-115.57,,2000-06-12,,,Populus sp.,Cicadellidae,Homalodisca,lacerta,"Gill, Raymond",2001-02-06
California,Imperial,El Centro,32.78,-115.56,Nelson Perez,2005-08-08,Yellow GWSS trap,2005-07-27,Olea europaea,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-08-09
California,Imperial,El Centro,32.78,-115.57,John Hamilton,2006-07-28,GWSS trap,2006-07-21,Nerium oleander,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2006-08-08
California,Imperial,El Centro,32.78,-115.57,Nelson Perez,2005-07-30,Yellow GWSS trap,2030-07-27,Schinus sp.,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-08-03
California,Imperial,El Centro,32.78,-115.56,Rachel Nilson/ John Hamilton,2005-12-14,,,,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-12-15
California,Imperial,El Centro,32.78,-115.57,Nelson Perez,2005-07-16,,,Citrus sp.,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-07-26
California,Imperial,El Centro,32.78,-115.57,Rachel Nilson,2005-07-27,,,Brachychiton populneus,Cicadellidae,Homalodisca,liturata,"Winterton, Shaun",2005-08-03
California,San Diego,San Diego,32.78,-117.19,Tracy Ellis,2012-10-16,,,Cupaniopsis anacardioides,Coccidae,Parasaissetia,nigra,"Watson, Gillian",2012-10-17
California,San Diego,San Diego,32.78,-117.19,P. Nolan,2012-10-10,,,Cupaniopsis anacardioides,Coccidae,Parasaissetia,nigra,"Watson, Gillian",2012-10-17
California,San Diego,San Diego,32.78,-117.19,Tracy Ellis,2012-10-16,,,Cupaniopsis anacardioides,Diaspididae,Hemiberlesia,rapax,"Watson, Gillian",2012-10-17
California,Imperial,El Centro,32.78,-115.59,Jolene Dessert,2006-06-14,,,Hibiscus sp.,Pseudococcidae,Phenacoccus,solenopsis,"Watson, Gillian",2006-06-16
California,San Diego,EL CAJON,32.79,-116.94,KENYON,1988-11-07,,,,Aleyrodidae,Dialeurodes,citri,"Gill, Raymond",1988-11-10
