County,Number of potato psyllid records
Inyo County,307
San Bernardino County,232
Riverside County,195
Imperial County,70
Los Angeles County,37
NA,30
Mono County,21
Alameda County,18
Kern County,18
San Diego County,12
San Luis Obispo County,7
Monterey County,5
El Dorado County,3
San Benito County,3
San Francisco County,3
Imperial/Riverside County,2
Ventura County,2
Yolo County,2
Fresno County,1
Orange County,1
San Mateo County,1
Santa Barbara County,1
Santa Clara County,1
Santa Cruz County,1
