"mean","cil","ciu","rhat","params"
-1.15009473464206,-12.9245543766677,11.3100341255115,1.54836460861891,"alpha[1]"
-1.16142465661689,-12.7182885978093,11.3810858373657,1.55178693281764,"alpha[2]"
-1.07868056484841,-12.7623364364782,11.5101893634438,1.55133456162758,"alpha[3]"
-1.12773815215904,-12.788668006855,11.4827664352741,1.55333546808223,"alpha[4]"
-1.11426493389667,-12.8388303412378,11.4877768890427,1.53571544820227,"alpha[5]"
-1.22470242851119,-12.9205723819836,11.2693402234991,1.5434249780571,"alpha[6]"
-1.25367465480471,-12.7690830053177,11.211574023214,1.54955718268175,"alpha[7]"
-1.13365637974458,-12.8347501839102,11.4079592458844,1.54331657583378,"alpha[8]"
-1.16536054720767,-12.8513497804428,11.4322829018634,1.54161164801484,"alpha[9]"
-1.15417695712606,-12.8297895736348,11.4745248907554,1.54803074748298,"alpha[10]"
-1.10675268284897,-12.7156115622326,11.4696789681906,1.54442133663112,"alpha[11]"
-1.18123075725185,-12.809022231405,11.3682783234088,1.55298636008956,"alpha[12]"
-1.16795898955235,-12.8030949188982,11.4708163057298,1.55211359838978,"alpha[13]"
-1.21332714872042,-12.8805253895869,11.3513167989325,1.55199784900618,"alpha[14]"
-1.22986906463629,-12.7838338802055,11.2768670464756,1.54853509187316,"alpha[15]"
-1.23073965803125,-12.9255522772663,11.2596523060622,1.54508418781865,"alpha[16]"
-1.22238844656651,-12.7972110298057,11.2511545787949,1.55044387479907,"alpha[17]"
-1.17348860857964,-12.8401370996452,11.2738198685243,1.55661997787021,"alpha[18]"
-1.142256236694,-12.8651231880565,11.3548778090799,1.5462613380433,"alpha[19]"
-1.23560103028683,-12.8752558962186,11.2262398493579,1.5476943125617,"alpha[20]"
-1.19236663255344,-12.74044965346,11.3906353157583,1.55464726636341,"alpha[21]"
-1.37810844595759,-13.01086778232,11.0926262824831,1.55279572212211,"alpha[22]"
-1.25555893317551,-12.9251483290628,11.2627587740443,1.55298274258748,"alpha[23]"
-1.13244187267271,-12.7652619818288,11.3851297877903,1.54696228026306,"alpha[24]"
-1.12237755648876,-12.7649285977253,11.5014183342017,1.54218593289187,"alpha[25]"
-1.29760031313232,-12.9109434394539,11.2795624505095,1.55134818111459,"alpha[26]"
-1.15361619182986,-12.7396806646687,11.297766287755,1.53562924607674,"alpha[27]"
-1.12925441639051,-12.8450708780374,11.3883333332816,1.54692303782821,"alpha[28]"
-1.11178005816261,-12.7603650551556,11.3502358034917,1.54487938818498,"alpha[29]"
-1.1343903785774,-12.7988306052559,11.4397900575936,1.55138824551607,"alpha[30]"
-1.11245332646149,-12.8827745044486,11.3814139676718,1.54970451019285,"alpha[31]"
-1.11483849966509,-12.7542190192677,11.4416404101685,1.54149962767932,"alpha[32]"
-1.38861953771517,-12.9611848959734,11.1046241456771,1.55852002816753,"alpha[33]"
-1.22065774500107,-12.8168190569537,11.4030656166872,1.54769518793281,"alpha[34]"
-1.0960026422413,-12.7226661951226,11.4378633674381,1.54130290343566,"alpha[35]"
-1.19490733823051,-12.8596570139207,11.3442902860765,1.55207685526319,"alpha[36]"
-1.1238061892928,-12.7380042684815,11.4494210265666,1.55192385564064,"alpha[37]"
-1.40133038537061,-12.9620347788386,10.9854625667301,1.55169586407177,"alpha[38]"
-1.33746519373155,-12.9886193588,11.1270660935858,1.55339455604499,"alpha[39]"
-1.2212351251314,-12.7974935890997,11.2150790506207,1.54806779476045,"alpha[40]"
-1.13593673084784,-12.7827019580211,11.4038103485497,1.54215951064193,"alpha[41]"
-1.36384002052333,-12.9950198855587,11.0896475965455,1.5420464357043,"alpha[42]"
-1.11014461993407,-12.8442603532291,11.5128788142141,1.54623918680584,"alpha[43]"
-1.12229583771266,-12.8295818237968,11.4587761862811,1.54653260620707,"alpha[44]"
-1.25490328575539,-12.8989817342217,11.2907073858151,1.55141596710399,"alpha[45]"
-1.10177816446536,-12.7962101331312,11.435324105056,1.54130827515277,"alpha[46]"
-1.19140886246961,-12.8558269070815,11.2835783409725,1.55597328995927,"alpha[47]"
-1.39463250512486,-13.0118118620001,11.0794471262611,1.55435257311714,"alpha[48]"
-1.10067935569169,-12.8117269391513,11.4560949216797,1.54487895601111,"alpha[49]"
-1.14562610642076,-12.7962422799285,11.4507244364988,1.54929347966822,"alpha[50]"
-1.14200327179597,-12.832193980824,11.4029719780971,1.54920922334684,"alpha[51]"
-1.09563294032098,-12.6771401645999,11.3235857414657,1.54628540389796,"alpha[52]"
-1.1106600949828,-12.8889616621934,11.4069324220251,1.55150240646135,"alpha[53]"
-1.13801659310948,-12.7311951692889,11.4091600812199,1.54732260012144,"alpha[54]"
-1.12013959322718,-12.8386792797977,11.4421747888878,1.54182401164876,"alpha[55]"
-1.10541507586443,-12.8424450741189,11.5327761180131,1.54569562791522,"alpha[56]"
-1.10614858682666,-12.6264342529523,11.3893155953062,1.53419791751509,"alpha[57]"
-1.14346284489736,-12.7921004052127,11.4027378522915,1.54156713594656,"alpha[58]"
-1.18897500290593,-12.8633218139237,11.3257683385742,1.54505597996576,"alpha[59]"
-1.32217486855126,-13.1070099842817,11.186648469379,1.55127840847665,"alpha[60]"
-1.14933807164259,-12.8773428419279,11.3382166163675,1.54751091218234,"alpha[61]"
-1.12860605395492,-12.8403826610799,11.4742202546041,1.55606862932431,"alpha[62]"
-1.15569205687643,-12.8425131916151,11.3794607094855,1.54881466820421,"alpha[63]"
-1.3562518396999,-13.0307681623087,10.94675850527,1.55846053519824,"alpha[64]"
-1.13377532171537,-12.8559123698458,11.4149768140191,1.54713108311201,"alpha[65]"
-1.32623205915739,-12.9593406945752,11.2029901888028,1.54932772704072,"alpha[66]"
-1.34281680738674,-12.9486710335828,11.0509532243689,1.54560207811043,"alpha[67]"
-1.13732296592313,-12.846159923521,11.3809010868993,1.55548683695487,"alpha[68]"
-1.15313095382553,-12.7712651731587,11.47061019526,1.54229198951625,"alpha[69]"
-1.1082807145391,-12.7429828696323,11.4085831188193,1.53724555227389,"alpha[70]"
-1.15441159943868,-12.8603862122289,11.3578592143382,1.54431260415353,"alpha[71]"
-1.12377137855539,-12.77126848272,11.3910548230166,1.55088293572762,"alpha[72]"
-1.3130483371057,-12.9481625949823,11.0362911281354,1.55176536866325,"alpha[73]"
-1.12614936290438,-12.8323700709525,11.4747854808493,1.54882819047823,"alpha[74]"
-1.26155060572895,-12.8843748105879,11.2594320357591,1.54806869826288,"alpha[75]"
-1.13617805344058,-12.7452892927504,11.443682092752,1.55395183190461,"alpha[76]"
-1.11866818509348,-12.8042752660929,11.4602525004754,1.54690718676798,"alpha[77]"
-1.32047042563262,-12.9244136580325,11.1818256406616,1.56264353635976,"alpha[78]"
-1.30305830237793,-12.9519445252108,11.1967273211258,1.55030222879652,"alpha[79]"
-1.39877397063762,-13.0064913912072,11.0518215160532,1.55290445767708,"alpha[80]"
-1.10948403935352,-12.8058490172794,11.4496084147663,1.5489980749955,"alpha[81]"
-1.10419574157213,-12.9005183203987,11.4521606901336,1.55689830423394,"alpha[82]"
-1.12170995755852,-12.7364375175467,11.519442654322,1.55507857564325,"alpha[83]"
-1.28708540014907,-12.9980798524119,11.2488646197223,1.54698275061836,"alpha[84]"
-1.10760529753463,-12.7933549397881,11.3915006160273,1.53925912902061,"alpha[85]"
-1.18922622617272,-12.9246605911469,11.3204570714252,1.54981790850906,"alpha[86]"
-1.168764595772,-12.845081757399,11.2872891256293,1.55347100133664,"alpha[87]"
-1.15484783371717,-12.9246362270905,11.4188927692363,1.54942341997255,"alpha[88]"
-1.16162080671031,-12.8078526386934,11.3583213493444,1.55420608480049,"alpha[89]"
-1.0995037030934,-12.8756458580404,11.4302101201302,1.54294432909908,"alpha[90]"
-1.27878737223153,-12.9150721251408,11.1612830430222,1.55877914590685,"alpha[91]"
-1.29284698323902,-13.0736706837585,11.2183929615762,1.55511143242255,"alpha[92]"
-1.31123511337389,-12.9252707123491,11.1403115978092,1.5539311573589,"alpha[93]"
0.607320744540059,-10.6566139352347,12.8455031449215,1.56691654647613,"alpha[94]"
-1.17138522341694,-12.8219178029873,11.2880633990986,1.54575752306735,"alpha[95]"
-1.28014840605445,-12.8983896474865,11.1622876512752,1.55146166952961,"alpha[96]"
-1.29984351626455,-12.9396471164084,11.0552031785571,1.5608262720511,"alpha[97]"
-1.23444232086291,-12.9064699661637,11.1650710738186,1.55340382932124,"alpha[98]"
-1.2345869369026,-12.9866731659274,11.2174739010909,1.55935943167624,"alpha[99]"
-1.12065005681398,-12.8371526152191,11.4238316523508,1.53914551011095,"alpha[100]"
-1.28044562061631,-12.845516975415,11.2342190183935,1.55333037666878,"alpha[101]"
-1.28042106355713,-12.8949273930624,11.2066941748931,1.54856338880395,"alpha[102]"
-1.30398562122596,-12.9845373261094,11.1791110403663,1.56157784185118,"alpha[103]"
-1.34476702881711,-13.0376677622917,11.0206724119482,1.55880808291456,"alpha[104]"
-1.23098843120811,-12.9205078933206,11.2150448357913,1.54754822526769,"alpha[105]"
0.557838603479944,-10.9538400305701,13.1606704549989,1.5374368656318,"alpha[106]"
-1.25396339901729,-12.8036010539336,11.192945380889,1.55208662602497,"alpha[107]"
-1.16733379421884,-12.7714324904277,11.3449754314568,1.54477166860167,"alpha[108]"
-1.81059174514771,-13.3832872737057,10.5001254778926,1.56165632965093,"alpha[109]"
-1.25701451031087,-13.0027256774695,11.2249595054519,1.54164755715925,"alpha[110]"
-1.12041097444246,-12.7612550584357,11.4730558191091,1.54529744088463,"alpha[111]"
0.204560364898093,-11.1842568101306,12.6724452143091,1.54413540134017,"alpha[112]"
-1.37883995164738,-12.8914748141595,11.0587611874827,1.55589853075976,"alpha[113]"
-1.42117237448632,-13.1092552470827,10.996936250311,1.55754861494877,"alpha[114]"
-1.18683883682549,-12.8587577391561,11.3594253031352,1.55549826683639,"alpha[115]"
-1.19711735767929,-12.8290327608198,11.3629203553089,1.55489027606106,"alpha[116]"
-1.11998426337881,-12.7082763654004,11.3436109596838,1.54953604236691,"alpha[117]"
-1.11205938217883,-12.7866058941718,11.4062318161185,1.54451358341529,"alpha[118]"
-1.14744426018549,-12.7709774579304,11.3760865810555,1.54930685707962,"alpha[119]"
-1.151118412531,-12.7715441298428,11.3440057338089,1.5490257100637,"alpha[120]"
-1.32868175323171,-12.9884358774801,11.1279332631006,1.55504460366163,"alpha[121]"
-1.29623574509301,-12.9308689229748,11.1457411570061,1.55430142892987,"alpha[122]"
-1.35107621244908,-12.9855146051213,11.1985672951194,1.55190061316041,"alpha[123]"
-1.14905996477213,-12.7693471400704,11.3473991102977,1.54495134874274,"alpha[124]"
-1.31839998620793,-13.0303123314495,11.2232905349705,1.55032091072254,"alpha[125]"
-1.23534242959188,-12.9306114518077,11.2806229829164,1.55045100899993,"alpha[126]"
1.32522041628516,-10.2699834286727,14.1368747100188,1.5028169352254,"alpha[127]"
-1.17947986943074,-12.7879351126574,11.4074038783085,1.55905563911983,"alpha[128]"
-1.11748740464576,-12.8025760988794,11.4932573883677,1.54776904670399,"alpha[129]"
-1.25302496246122,-12.7952281780946,11.2968000094545,1.55800925517197,"alpha[130]"
-1.14573741839692,-12.7614751508841,11.3725069032061,1.55428863138439,"alpha[131]"
0.912213197680159,-10.5985935310532,13.2790117188913,1.53323909696704,"alpha[132]"
-1.12984382063642,-12.7711069297111,11.4127788971533,1.55211514157947,"alpha[133]"
-1.17533552865284,-12.8447053929037,11.2704997626235,1.55219528038926,"alpha[134]"
0.832574992153531,-10.5742835374187,13.3033936158371,1.54102780274924,"alpha[135]"
-1.18079459717458,-12.7948688154653,11.3118820061841,1.54385427293777,"alpha[136]"
-1.17555276970427,-12.9414742981977,11.3683783570673,1.54990250213934,"alpha[137]"
-1.25714812588214,-12.8789634115756,11.219433353493,1.55656863306586,"alpha[138]"
-1.14463569739891,-12.8430056858493,11.3615934685394,1.54505523982058,"alpha[139]"
-1.14974630164745,-12.7788796643205,11.2887328216068,1.54485600624413,"alpha[140]"
-1.12964992021537,-12.8464906390619,11.3611933239113,1.54343310201008,"alpha[141]"
-1.11929073187935,-12.8446005034051,11.4507410421369,1.54446394510159,"alpha[142]"
-1.11639224445559,-12.6636783798768,11.4643726258435,1.54892390732129,"alpha[143]"
-1.1038905449272,-12.7956303206142,11.3996841901612,1.54707300759776,"alpha[144]"
-1.17051064860039,-12.9364872341182,11.2341540370236,1.54849896731953,"alpha[145]"
-1.22878200865762,-12.8096274681042,11.1993155190872,1.54577514036377,"alpha[146]"
-1.14398282616123,-12.8730531759218,11.3784631364029,1.54040509241581,"alpha[147]"
-1.12078971705064,-12.8060578223755,11.4452812831258,1.54382963614053,"alpha[148]"
1.08315616953183,-10.4522703026772,13.596087535997,1.52769532912409,"alpha[149]"
-1.15136867306048,-12.859445603453,11.4485509038623,1.54952773285411,"alpha[150]"
